,OverallRank,GenderRank,DivRank,Name,Bib,AgeGroup,Country,SwimTime,BikeTime,RunTime,Overall,Race
0,401,356,10,Detake George,273,M55-59,JPN,00:43:56,02:52:57,01:56:43,05:47:00,ironman-703-xiamen
1,402,44,7,Kim Taylor,539,F45-49,NZL,00:39:42,02:47:09,02:10:28,05:47:10,ironman-703-xiamen
2,403,357,75,Quan Zhou,934,M35-39,CHN,00:46:24,02:46:23,02:02:35,05:47:18,ironman-703-xiamen
3,404,358,69,Chak Kwan Jeffrey Chan,1157,M40-44,HKG,00:50:42,02:40:57,02:00:32,05:47:35,ironman-703-xiamen
4,405,359,76,Wei Lin,1042,M35-39,CHN,00:41:24,02:42:00,02:09:46,05:47:41,ironman-703-xiamen
5,406,360,9,Hylton Gibson,713,M18-24,ZAF,00:37:09,02:59:55,02:00:03,05:47:45,ironman-703-xiamen
6,407,361,8,Team 康美铁飞,1627,RELAY-M,CHN,00:52:28,03:02:25,01:43:56,05:48:28,ironman-703-xiamen
7,408,362,58,Taylor Karchawer,276,M30-34,USA,00:50:25,02:40:47,02:04:28,05:48:36,ironman-703-xiamen
8,409,363,21,Pierreson Tan,724,M25-29,PHL,00:44:15,02:52:58,01:59:49,05:48:38,ironman-703-xiamen
9,410,364,70,Yuan Zheng,1122,M40-44,CHN,00:42:21,03:00:00,01:53:00,05:48:46,ironman-703-xiamen
10,411,365,77,Cedric Poon,969,M35-39,HKG,00:42:56,02:56:51,01:55:35,05:48:55,ironman-703-xiamen
11,412,366,33,Tim Hallworth,118,M50-54,GBR,00:35:34,02:27:34,02:35:06,05:49:03,ironman-703-xiamen
12,413,367,71,Yupei Song,193,M40-44,CHN,00:40:29,02:41:25,02:10:18,05:49:07,ironman-703-xiamen
13,414,45,7,Ling He,499,F40-44,CHN,00:49:01,02:47:44,02:01:25,05:49:09,ironman-703-xiamen
14,415,368,4,Kazuteru Niwa,295,M60-64,JPN,00:39:09,02:45:59,02:11:12,05:49:54,ironman-703-xiamen
15,416,369,72,Woon Liang Loh,1108,M40-44,SGP,00:56:23,02:39:29,01:57:40,05:50:00,ironman-703-xiamen
16,417,370,11,Clarence Chan,1519,M55-59,SGP,00:51:44,02:47:09,01:54:29,05:50:02,ironman-703-xiamen
17,418,371,59,Julien Heritier,819,M30-34,CHE,00:41:28,02:54:24,02:02:22,05:50:02,ironman-703-xiamen
18,419,46,8,Vanessa Lodge,547,F45-49,SGP,00:49:13,02:46:58,02:01:02,05:50:05,ironman-703-xiamen
19,420,372,73,Wayne Crossley,58,M40-44,GBR,00:42:20,02:43:04,02:10:10,05:50:07,ironman-703-xiamen
20,421,373,78,Xiyuan Zhang,1021,M35-39,CHN,00:51:23,02:49:36,01:57:10,05:50:14,ironman-703-xiamen
21,422,374,12,Yann Leray,184,M55-59,FRA,00:36:22,02:43:23,02:20:24,05:50:28,ironman-703-xiamen
22,423,375,74,Cheuk Ho Tsang,1192,M40-44,HKG,00:51:29,02:58:57,01:48:21,05:50:38,ironman-703-xiamen
23,424,376,79,Suiqing Chen,204,M35-39,CHN,00:49:28,02:50:14,01:59:17,05:50:43,ironman-703-xiamen
24,425,377,75,Yiu Fai Kwok,1197,M40-44,HKG,00:52:14,02:48:24,01:58:56,05:50:45,ironman-703-xiamen
25,426,47,3,Tanikawa Mayuko,565,F55-59,JPN,00:47:26,02:51:11,01:56:23,05:50:53,ironman-703-xiamen
26,427,378,76,Richard Atkins,101,M40-44,GBR,00:39:27,02:43:09,02:17:10,05:50:57,ironman-703-xiamen
27,428,379,65,Zhenya Mei,238,M45-49,CHN,00:47:53,02:59:17,01:48:07,05:51:04,ironman-703-xiamen
28,429,380,66,Giuseppe Cavallo,104,M45-49,ITA,00:37:40,03:01:11,01:59:24,05:51:19,ironman-703-xiamen
29,430,381,67,Jian Liu,1404,M45-49,CHN,00:43:24,02:58:18,01:56:03,05:51:39,ironman-703-xiamen
30,431,382,80,Jun Gao,1051,M35-39,CHN,00:54:34,02:46:04,01:58:16,05:51:48,ironman-703-xiamen
31,432,48,8,Mireille Couture,528,F40-44,CAN,00:52:42,02:52:02,01:57:13,05:51:55,ironman-703-xiamen
32,433,383,81,宏 林,987,M35-39,CHN,00:42:56,03:01:05,01:54:59,05:52:05,ironman-703-xiamen
33,434,49,4,Rio Tanabe,287,F50-54,JPN,00:47:48,02:54:18,01:59:18,05:52:10,ironman-703-xiamen
34,435,384,77,Keigo Saito,1203,M40-44,JPN,00:44:52,03:05:43,01:49:06,05:52:48,ironman-703-xiamen
35,436,50,9,Marie-Louise Philippe,496,F40-44,AUT,00:44:41,02:51:29,02:05:40,05:52:49,ironman-703-xiamen
36,437,385,68,Zhi Miao,1362,M45-49,CHN,00:45:46,02:43:14,02:05:22,05:53:13,ironman-703-xiamen
37,438,51,5,Shuaizhu Zhao,563,F50-54,CHN,00:43:17,02:50:13,02:08:34,05:53:20,ironman-703-xiamen
38,439,386,60,Mingnan Wang,807,M30-34,CHN,00:53:29,02:44:16,02:03:27,05:53:21,ironman-703-xiamen
39,440,387,82,Xiaochen Liu,1593,M35-39,CHN,00:44:53,02:55:13,01:56:43,05:53:23,ironman-703-xiamen
40,441,388,61,Kajnarong Pitrachat,900,M30-34,THA,00:59:19,02:46:43,01:52:38,05:53:48,ironman-703-xiamen
41,442,389,69,Zhihong Cheng,690,M45-49,CHN,00:47:25,02:59:22,01:52:29,05:53:54,ironman-703-xiamen
42,443,390,70,Noom Thummanoon Labhantakul,1287,M45-49,THA,00:44:05,02:53:39,01:59:09,05:53:57,ironman-703-xiamen
43,444,391,83,Kok-Siong Yeap,975,M35-39,SGP,00:52:48,02:45:29,02:03:51,05:54:01,ironman-703-xiamen
44,445,392,62,Chun Lau,898,M30-34,HKG,00:53:42,02:53:35,01:56:31,05:54:21,ironman-703-xiamen
